"","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"mmu-mir-15b_mature",2.15851063801049,0,5.48996410420509,0.153303128886037,16.8717958081809,217.814967098478,12.3333037500606,5.86391835131303,418.340553953384,2.79999476161512,228.529306960258,3.36918596260462,9.9879702380856,0,0.821399821989963,544.89529700061,111.300562319133,138.759531859245,9.43988652356586,12.3996798901355,20.0121740542203,0.268462747692615,5.91469464962431,19.3478847206404,430.45959524813,94.375412249828,155.841060253851,16.6669264225499,17.7845909457102
"mmu-mir-16-1_mature",2.15851063801049,1140.01415294131,1092.50285673681,348.304708829076,173.754315039475,157.123490197973,12.3333037500606,267.952464175243,451.807798269655,218.399591405979,306.563704458883,732.797946866505,39.9518809523424,1551.57655969056,43.534190565468,222.663722741801,111.300562319133,195.396075475263,16.5198014162403,12300.4824510144,9.69339680751296,1436.43677780411,1374.55271697024,504.168428301074,553.640020527251,489.187542508368,585.178020953204,602.573493738341,510.109949913976
"mmu-mir-16-2_mature",4.31702127602097,965.522190756417,1070.54300031999,255.556315853024,170.732500864876,164.541337374702,6.16665187503029,273.101270532493,448.222022092912,224.932912516415,302.847780768472,727.744167922598,9.9879702380856,1644.67115327199,41.0699910994981,147.646848311179,55.6502811595664,171.325544438455,9.43988652356586,12759.2706069494,719.500195293139,20.0810135274076,15.7353197282458,484.321243329578,581.411607317453,24.4676994721776,568.149030925465,583.342424789245,508.143384569017
"mmu-mir-17_mature",0,0,0,0,64.7171869060075,87.6654666340624,0,0.0715111994062565,0,0,0,0,0,0,0,0.340985792866464,0,43.8933213024142,4.71994326178293,0,0.0781725548992981,18.5239295907904,92.0683601120765,62.038056168763,0.223964409598402,54.927488611011,1.03206000168114,66.753177107751,54.9783268177483
"mmu-mir-181a-1_mature",224.485106353091,1721.65402689096,5.48996410420509,91.6752710738501,10.8281674589818,93.0602645807739,6.16665187503029,43.6218316378164,341.843995516194,550.665636450974,195.085993746562,229.104645457114,9.9879702380856,1284.70539142378,228.34915051321,0.340985792866464,55.6502811595664,19.8227902656064,4.71994326178293,12.3996798901355,35.8812026987778,9.18142597108744,0.111598012257062,24.5905373546203,53.0795650748214,74.7346738980119,26.317530042869,86.6680173972592,48.1380995309367
"mmu-mir-181a-2_mature",233.119148905133,1861.24759663888,5.48996410420509,99.647033775924,8.81362467591541,99.8037620141633,12.3333037500606,43.3357868401914,333.477184437126,553.465631212589,187.654146365741,244.265982288835,0,1321.94322885635,257.919544104848,0.681971585732928,0,15.575049494405,2.35997163089146,0,36.975618467368,9.5572738178571,47.7639492460227,22.7181614139132,50.615956569239,79.3951880831886,21.1572300344633,86.8389602323623,47.5395796433407
"mmu-mir-181b-1_mature",0,0,0,0,14.8572530251146,0,0,5.86391835131303,137.454753441826,0,0,0,0,0,0,41.2592809368422,0,0,0,0,8.129945709527,0.107385099077046,11.3829972502204,3.12062656784522,0,17.3104812592277,43.8625500714483,9.059970260463,1.7100568217029
"mmu-mir-181b-2_mature",0,0,0,0,10.5763496110985,0,0,6.22147434834431,120.721131283691,0,0,0,0,0,0,36.4854798367117,0,0,0,0,8.36446337422489,0.161077648615569,14.1729475566469,4.11922706955569,0.447928819196805,15.3131180370091,44.3785800722888,7.26507049188071,17.0150653759439
"mmu-mir-182_mature",0,23.265594957986,3870.42469346459,87.3827834650411,24.6781490925632,0,6.16665187503029,7.93774313409447,0,0,1.85796184520535,0,0,0,0.821399821989963,0.340985792866464,0,41.0614941216133,0,12.3996798901355,14.4619226563701,33.6652285606539,9.15103700507912,6.86537844925948,51.2878497980342,35.4531971943798,0,16.3250407523437,38.1342671239747
"mmu-mir-183_mature",0,0,0,0,0,0,0,0,118.330613832529,0,345.580903208195,0,0,0,0,0,0,33.981926169611,0,0,0.0781725548992981,19.9736284283306,15.6237217159887,35.0758426225803,9.85443402232971,0,3.09618000504341,41.1117518422896,4.78815910076813
