"","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"mmu-mir-101b_mature",1,1,1,31.2007163905493,423.802166596057,363.125812173012,1,138.373014059419,5.78103490232439,2.86666317441008,2.85796184520535,615.876438175343,20.9759404761712,19.6189187162867,2.64279964397993,128.869672324924,1,84.538901833627,359.715687895503,87.7977592309485,868.402669162611,438.433201090347,604.633648298451,230.678115393408,338.962294083989,345.212261962336,557.796370906973,345.193398480042,398.160696840499
"mmu-mir-106b_mature",3.15851063801049,12.632797478993,6.48996410420509,23.8421662040195,63.7026441229411,228.930213248562,7.16665187503029,69.4362178317874,2.1952587255811,1,866.810219865694,270.53487700837,1,7.20630623876223,2.64279964397993,168.424024297434,56.6502811595664,60.4683707968192,8.07991489267439,13.3996798901355,342.457719800134,360.203156412719,203.215598209797,136.060717856341,71.7727534330952,118.511536240527,78.9205301269257,81.8559610037547,154.306594065665
"mmu-mir-10a_mature",13.9510638280629,35.8983924369789,1,35.9531133860164,830.991626623349,673.326694108925,3509.82491689223,387.804077588441,2.1952587255811,2.86666317441008,12.1477710712321,563.654055754972,1239.50830952261,4010.2738302404,704.118247623408,1364.26119988012,167.950843478699,162.414149305652,52.9193758796122,13.3996798901355,607.384508353855,1209.83406031031,8.47706682122318,526.139038836994,530.675828700222,715.556692748697,598.562740973377,572.290954914478,624.486717192878
"mmu-mir-10b_mature",3.15851063801049,12.632797478993,1,492.489831208635,639.358244384159,168.913086091396,19.4999556250909,224.901565340989,568.747894651021,462.06580407929,2.85796184520535,304.226736634416,10.9879702380856,2011.84322135896,574.337075748994,507.363902406699,1,485.242447916956,1940.89668059278,38.1990396704065,423.679004340505,468.178873534689,303.988603277925,485.570893455006,519.925537039499,23.9696770555137,358.092760581673,1.08547141755154,845.597064239064
"mmu-mir-1198_mature",1,1,6.48996410420509,73.2057737053234,61.939919187758,1,1,7.36449674715682,1,1,1,1,1,1,1,1.34098579286646,1,1,1,1,3.11065898228105,26.8798088775681,42.2912645351131,10.8611799543909,1,18.4769281944126,1,9.03431324984455,30.7549886976305
"mmu-mir-122_mature",8466.67872227713,24.265594957986,6.48996410420509,1.30660625777207,30.4626882023458,2.34869948667788,19.4999556250909,2325.47153670037,3.3905174511622,2.86666317441008,333.575170291758,292.4345857653,76398.9843511168,7.20630623876223,465.090899424329,1476.10453994032,56.6502811595664,2.41591359040046,24.5997163089146,38.1990396704065,160.628357104367,17.0003797624799,1.11159801225706,25.9650125427618,105.367414872856,31.4597891388334,477.295690775844,415.963732212716,26.7363551666287
"mmu-mir-1249_mature",1,1,1,1,1,1,7.16665187503029,15.6597958782826,1,1,2.85796184520535,2.68459298130231,1,1,1,1,1,43.4774077120137,527.273673688797,1,1,24.0341037520264,1,59.0436541619211,17.125437491085,10.3210283703534,26.2854700411878,1,2.62455398061776
"mmu-mir-125a_mature",11.7925531900524,47.5311899159719,1406.4308106765,182.357601472182,456.034851125119,184.423130188192,56.4998668752726,382.726782430597,1539.29797982287,3.79999476161512,4.7159236904107,4.36918596260462,40.9518809523424,13.4126124775245,191.564758701671,166.378109540235,223.601124638266,145.423186220847,1032.30760269957,38.1990396704065,1.1563451097986,17.6983829064807,218.058133839986,1.12482506271381,134.930716939845,323.907054258671,247.662340401791,161.08796507403,1.08550284108515
"mmu-mir-125b-1_mature",5.31702127602097,12.632797478993,11.9799282084102,73.0524705764374,89.3880646070374,201.281873771666,31.8332593751514,106.83657512126,438.464693562682,677.665400723654,2.85796184520535,206.520343718882,10.9879702380856,7.20630623876223,154.601766712123,167.401066918835,1,81.7070746528261,12.7998581544573,13.3996798901355,130.14106069364,289.973301616331,265.04089700021,376.848263831278,228.771804561575,153.465392629352,42.798430068086,1.08547141755154,1.08550284108515
"mmu-mir-125b-2_mature",7.47553191403146,12.632797478993,6.48996410420509,69.2198923542865,88.1289753676209,193.864026594937,7.16665187503029,106.908086320666,511.375475823129,675.798737549244,4.7159236904107,196.412785831068,10.9879702380856,19.6189187162867,159.530165644063,164.332194783036,1,76.0434202912242,24.5997163089146,1,133.111617779814,292.013618498795,10.5974290541074,383.713642280538,221.604943454426,159.124588425638,461.814790750627,72.7105193257402,140.882648015297
"mmu-mir-126a_mature",901.098936050373,1,1,1.30660625777207,71.25717955944,381.333255243163,7.16665187503029,14.2295718901574,87.058628241839,2.86666317441008,2.85796184520535,2.68459298130231,1,1,1.82139982198996,71.5840591233581,56.6502811595664,2.41591359040046,5.71994326178293,1,8.8954280448291,1.59061804492375,16.7353197282458,1.24965012542762,2.11982204799201,26.1334872129171,5.12824000672454,11.171098688633,17.5875511705182
"mmu-mir-128-1_mature",408.958510583982,24.265594957986,3119.29961118849,623.104097019538,1293.83283103285,113.616407137603,25.6666075001211,187.215163253892,443.245728465006,158.733038237652,526.803202193115,956.16422039841,1,1,257.276744460868,1163.42056788178,56.6502811595664,843.468586288272,2545.049418101,2121.34526121317,355.19984624872,416.634025977707,387.910308495236,101.733825610044,279.163796721216,880.838499387285,213.604360346314,514.341333814536,959.401345723392
"mmu-mir-128-2_mature",257.862765923248,1,2553.83330845537,352.217468277911,693.750899526951,120.359904570993,7.16665187503029,126.931222154418,438.464693562682,154.066380301627,495.217850824624,444.047954082508,10.9879702380856,13.4126124775245,283.561538764547,820.047874465247,112.300562319133,619.754239005,404.55514888244,2195.74334055398,196.196869583547,253.032827533827,248.970783235193,65.1600822348977,222.948729912017,526.306527443487,115.558660186606,335.62059971427,438.176026468347
"mmu-mir-1306_mature",1,1,1,39.9389947370534,164.681601124143,1,7.16665187503029,24.7417182028771,2.1952587255811,1.93333158720504,1,1,1,1,1,224.345694327534,1,117.104914412838,1,1,88.865951706811,91.4182534228728,99.4294468107291,17.4769082782228,47.8085616060661,53.9301253887924,1.51603000084057,9.03431324984455,100.354301340939
"mmu-mir-130b_mature",1,1,1,1,20.8936099827805,1,1,20.522557437908,1,1,1,1,1,1,1,1.34098579286646,1,1,1,1,19.9177582856301,1.10738509907705,1.44639204902825,1.24965012542762,1.2239644095984,8.82300595368944,1.51603000084057,21.5986116299206,5.18963921317211
"mmu-mir-133a-1_mature",1,1,1,1,1.2518178478833,1,1,43.8352084443476,1,1.93333158720504,1,1,1,1,10.8567978638796,1.34098579286646,1,2.41591359040046,3.35997163089146,13.3996798901355,20.8558289444217,8.24849418770061,18.2976918998447,99.3621494184814,1,8.49011208331968,40.7343100647237,1,52.8147216975979
"mmu-mir-133a-2_mature",1,1,1,1,1.5036356957666,1,7.16665187503029,44.764854036629,1,1,1,1,1,1,6.74979875392974,1,56.6502811595664,1,5.71994326178293,13.3996798901355,24.2954213599908,7.98003144000799,15.6193396056752,94.7436220980704,1.2239644095984,7.49143047221039,60.3434500966653,1,57.0898637518552
"mmu-mir-139_mature",1,1,1,1,85.8626147366713,185.097479931531,1,12.3702807055948,373.920722381302,1,2.85796184520535,1,1,1,1,1,1,2.41591359040046,5.71994326178293,1,83.1593551991623,66.397525337921,5.91031253931075,6.36747769669378,1.4479288191968,13.4835201388661,22.6732600353038,19.4618261911321,22.204704589116
"mmu-mir-140_mature",3.15851063801049,12.632797478993,1,224.056052529184,185.07884680269,169.587435834735,31.8332593751514,11.2976127145009,5.78103490232439,1.93333158720504,422.757338861615,2.68459298130231,10.9879702380856,7.20630623876223,164.458564576003,483.835882698913,56.6502811595664,509.312978953764,19.8797730471317,25.799359780271,527.023121917377,18.1279233027888,813.545127243672,212.204006111764,687.002986599907,6.99208966665574,645.521471049869,328.782886310147,2.79555966278805
"mmu-mir-142a_mature",573.005319072779,7062.10806974874,28.4498205210254,1.15330312888604,32.9808666811788,231.627612221918,3953.82385189441,139.87474924695,562.771601023116,1095.79795179151,695.877730106802,4.36918596260462,30.9639107142568,516.123417817265,183.350760481772,394.156619175033,17141.2865971465,716.036363152231,1752.09895012147,1,662.339814448062,1222.29073180324,751.050240379717,22.2202606613475,574.124924162312,47.438694916582,205.347880332865,16.3848551592768,610.806262619255
"mmu-mir-143_mature",946.427659448593,24.265594957986,11.9799282084102,127.015171944322,567.841975585303,154.07739173794,6223.15174190556,120.709747806073,421.731071404546,436.865851224754,2.85796184520535,952.795034435806,3466.8256726157,32.0315311938111,5.10699910994981,8.16070165019575,1,97.2821241472311,29.3196595706976,2840.52669484103,432.121640269629,238.535839158426,141.613495443899,239.91517003423,392.265823568409,344.213580351226,340.547740553094,86.3859461339862,400.640279231968
"mmu-mir-144_mature",413.275531860003,12.632797478993,1,172.699504352361,126.908923941649,118.336855340976,7.16665187503029,11.9412135091572,2.1952587255811,939.93157672827,2.85796184520535,546.808125941949,20.9759404761712,7.20630623876223,673.726454209779,175.243740154763,1,318.164644249702,1357.98368776259,13.3996798901355,110.12888663942,53.7797761963681,89.4972237198505,51.8038005245202,33.6988038013668,83.8905737220711,79.4365601277663,44.5904229512842,33.8330909766957
"mmu-mir-145a_mature",1,1,1,1.15330312888604,1,1,1,35.1108421167843,2.1952587255811,1,1,2.68459298130231,1,7.20630623876223,1,1.68197158573293,1,1,3.35997163089146,25.799359780271,9.98984381341928,21.5105539237158,1.11159801225706,9.86257945268042,1,1.16644693518488,88.7251001428965,1,15.1079687790489
"mmu-mir-146a_mature",1,24.265594957986,1,58.0287639456058,28.1963275713961,89.3398163774013,13.3333037500606,83.6669465136325,108.573285302299,1,1,1,30.9639107142568,1,686.868851361619,94.7710930382777,1,254.448532681682,12.7998581544573,1,65.7268754566188,228.334254746106,98.6482607249297,56.4223278449311,149.264439154142,214.384970907018,1,36.6415811189912,190.303290162511
"mmu-mir-146b_mature",1,1,1,29.0544725861448,1,1,1,14.1580606907512,1,1,1,2.68459298130231,2917.487309521,1,1.82139982198996,1,1,71.7956795200229,5.71994326178293,1,53.6883020021269,28.4368928141853,31.0198652971498,8.1150285746871,63.0381414587575,56.7597232869354,2.03206000168114,26.5559538479098,45.1194659999349
"mmu-mir-148a_mature",3.15851063801049,4130.64310504251,11.9799282084102,84.8568115006622,845.345243952696,2.34869948667788,56.4998668752726,137.300346068325,311.767268651085,214.732933469954,4.7159236904107,474.370627745949,1818.81058333158,7.20630623876223,4.28559928795985,722.525937705438,1,10.9113951328032,2908.48504925828,11433.5048587049,1097.52642757245,386.727275884749,559.548051346598,12.2342556442428,201.224182180972,585.228742498935,148.068550239562,467.417525578741,280.85079887168
"mmu-mir-148b_mature",1,1,11.9799282084102,132.687387713106,43.8090341401606,130.475150721077,7.16665187503029,40.1881372746285,1,1,1,833.188932763342,10.9879702380856,1,2.64279964397993,229.801467013397,56.6502811595664,2.41591359040046,777.430666563292,13.3996798901355,104.891325461167,127.553339262299,153.777678779919,66.6579829874634,78.9396145402441,81.0609758239281,35.574010056318,65.530920251411,93.6850797362973
"mmu-mir-150_mature",3.15851063801049,1,11.9799282084102,303.160467034379,274.222364953378,1.67434974333894,19.4999556250909,251.575242719523,255.590108548774,1.93333158720504,1,2.68459298130231,10.9879702380856,25.8252249550489,2.64279964397993,75.3349028448892,56.6502811595664,234.625742416075,15.1598297853488,1,122.323805203711,357.357451287177,104.228161337783,131.691840661358,151.504083250126,339.719513101234,373.057630606049,185.190904823564,169.18408841448
