"","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"mmu-mir-125b-2_mature",2.90217623649245,3.65910224804052,2.6982104987439,6.11311479281867,6.46154452659165,7.59890131159,2.8412992763285,6.74022716961996,8.99823916428325,9.40044984519928,2.2375403738824,7.61774503722098,3.45785300274864,4.29417362545377,7.31768543953441,7.36047134020103,0,6.2487515180655,4.62056977296887,0,7.05649268275157,8.18989184272429,3.40564240299964,8.58388624817543,7.79184625445442,7.31401297238802,8.85117056947157,6.18409219467496,7.13835012105418
"mmu-mir-126a_mature",9.81554170504016,0,0,0.385824454414774,6.15496347597103,8.57490854061935,2.8412992763285,3.83082035258888,6.4439153830549,1.51937240155951,1.51498665607667,1.42470337373461,0,0,0.865047648227701,6.16156644796135,5.8240112111539,1.27256885494026,2.5160008364529,0,3.15306402913427,0.669587442928405,4.06482420886062,0.321524228515288,1.08394316042292,4.70782774342986,2.35846378309717,3.48169917817439,4.1364827158386
"mmu-mir-128-1_mature",8.67581067692487,4.60084032826016,11.6070064160264,9.28332939268444,10.3374355114055,6.82802737661438,4.68182071428361,7.54855347867714,8.79196291779198,7.31045862759458,9.04112030487197,9.90111461091781,0,0,8.0071772458854,10.1841569992859,5.8240112111539,9.72019052829342,11.3134779545415,11.0507637316046,8.47248714698004,8.70263685705708,8.59957930495146,6.668655632256,8.12496804795068,9.78273371687554,7.73879728710823,9.0065822868699,9.90599065294046
"mmu-mir-128-2_mature",8.01045966008697,0,11.3184486464635,8.46032265139408,9.43827392674426,6.91121105769844,2.8412992763285,6.98790317232641,8.77631686717051,7.26740826730692,8.95191950923805,8.79457167576732,3.45785300274864,3.74551836429125,8.14751805381701,9.67956432662429,6.81122134149359,9.27555242388919,8.66019257375495,11.1004937128895,7.61615821261464,7.98318075670206,7.95983264148652,6.02591651949671,7.80056817074588,9.03975947754091,6.85248157195236,8.39068745797664,8.77536674338319
"mmu-mir-1306_mature",0,0,0,5.31972611554808,7.36353557028101,0,2.8412992763285,4.62887378746906,1.13439098081587,0.951089096519864,0,0,0,0,0,7.80957968565917,0,6.87165781087652,0,0,6.47355886250535,6.51441035090839,6.63560127541119,4.12737808486413,5.57919709553193,5.75301948303917,0.600298303400595,3.17541493770307,6.64895864394661
"mmu-mir-130b_mature",0,0,0,0,4.38498987663192,0,0,4.35913861984237,0,0,0,0,0,0,0,0.423293952626673,0,0,0,0,4.31598337822735,0.147157014273448,0.532458652238635,0.321524228515288,0.291561607995924,3.14127025846482,0.600298303400595,4.43286667306296,2.3756342450456
"mmu-mir-133a-1_mature",0,0,0,0,0.324024650869716,0,0,5.45401820314531,0,0.951089096519864,0,0,0,0,3.44052674801959,0.423293952626673,0,1.27256885494026,1.74844905200851,3.74412663091143,4.38237875020917,3.04413077072576,4.19358977101102,6.63462447740151,0,3.08578359983039,5.34817256771199,0,5.72286822067848
"mmu-mir-133a-2_mature",0,0,0,0,0.588455069957633,0,2.8412992763285,5.48429457702122,0,0,0,0,0,0,2.75484448867669,0,5.8240112111539,0,2.5160008364529,3.74412663091143,4.60261254848674,2.99639443043938,3.96526155171178,6.56595692284461,0.291561607995924,2.90524122444086,5.91512527886048,0,5.83516271415236
"mmu-mir-139_mature",0,0,0,0,6.42395820210346,7.53214144308676,0,3.62880633311391,8.54658861616823,0,1.51498665607667,0,0,0,0,0,0,1.27256885494026,2.5160008364529,0,6.37780666676117,6.05305756764572,2.56323442261798,2.67072200119352,0.533990680655973,3.75312528457539,4.50291993628042,4.28257518595583,4.4727934727381
"mmu-mir-140_mature",1.65924443129039,3.65910224804052,0,7.80771588897613,7.53199620461171,7.40588547919022,4.99246297550644,3.49794604550906,2.53132778248423,0.951089096519864,8.72368598911101,1.42470337373461,3.45785300274864,2.84925996175026,7.36158033172478,8.91837395758802,5.8240112111539,8.99240867204777,4.31322938168462,4.68926336002084,9.04172244792521,4.18014175729036,9.66807856400067,7.72930808232816,9.42417256064271,2.80572368609854,9.33432127239008,8.36099139609954,1.48313713526942
"mmu-mir-142a_mature",9.16240472101572,12.7858831831453,4.83034764603984,0.20577175415506,5.04355740573703,7.85566343637095,11.9490328831801,7.12799173466357,9.13640571789278,10.0977660968107,9.44269002793958,2.12736451150837,4.95251578897181,9.01157228058342,7.5184624396858,8.6226251920694,14.0651877794118,9.4838890448722,10.7748685383788,0,9.37142777362916,10.2553717673994,9.55276560766386,4.47380383567502,9.16522087765153,5.56799241541052,7.68192624520444,4.0342910145232,9.25457104399106
"mmu-mir-143_mature",9.88634842698393,4.60084032826016,3.58254735746473,6.98885702678393,9.14934568859124,7.26751137595951,12.6034297091978,6.91539837409996,8.72017950712308,8.77104652788882,1.51498665607667,9.8960220842808,11.7593995779158,5.00142085937267,2.35247580761679,3.02869319922369,0,6.6041028251411,4.87379644738645,11.4719427459356,8.75529367140341,7.89806223207131,7.14581494730187,7.90638057308849,8.61568783486033,8.42716020731226,8.41171325007157,6.43272471871142,8.64616366266517
"mmu-mir-144_mature",8.69096014068972,3.65910224804052,0,7.43212013211223,6.9876497094951,6.88675565260619,2.8412992763285,3.57787755081025,1.13439098081587,9.87641192793978,1.51498665607667,9.09489087231095,4.39066359160207,2.84925996175026,9.39601913836214,7.45321910072117,0,8.31362971620547,10.4072504345501,3.74412663091143,6.78304912502912,5.74899184635955,6.48377102432875,5.69498603829622,5.07462547619168,6.39043680771663,6.31173124552226,5.47866197892641,5.08036308204122
"mmu-mir-145a_mature",0,0,0,0.20577175415506,0,0,0,5.13384469387273,1.13439098081587,0,0,1.42470337373461,0,2.84925996175026,0,0.750153333733099,0,0,1.74844905200851,4.68926336002084,3.32046212232531,4.42697277133166,0.152635159847728,3.30196501748618,0,0.222120676728912,6.47127039252612,0,3.91723780242001
"mmu-mir-146a_mature",0,4.60084032826016,0,5.85869629366426,4.81743536603798,6.48123138432051,3.73696239318959,6.38658587872549,6.76252535826624,0,0,0,4.95251578897181,0,9.42389085133278,6.56637517204974,0,7.99123006158123,3.67805591753491,0,6.03841149830901,7.83500349894406,6.62422170979323,5.81819428404832,7.22172668768679,7.74405996143842,0,5.19540985332527,7.57215669442452
"mmu-mir-146b_mature",0,0,0,4.86068836113945,0,0,0,3.82355175978252,0,0,0,1.42470337373461,11.5105106651771,0,0.865047648227701,0,0,6.16582512385797,2.5160008364529,0,5.74653587244648,4.8296919309255,4.9551205164143,3.02059617480859,5.97815309561186,5.82679565092538,1.02294300193773,4.73096344457549,5.49567808807166
"mmu-mir-148a_mature",1.65924443129039,12.0121506988071,3.58254735746473,6.4069585651893,9.72339685663091,1.23186213403363,5.82017556314775,7.10119145160662,8.28432566228292,7.74639966327266,2.2375403738824,8.88987087310482,10.8287795886645,2.84925996175026,2.09949696147053,9.49690556912137,0,3.44776367157141,11.5060521728347,13.4809800986911,10.1000399638019,8.59517271110241,9.12811821813953,3.61285442262037,7.65265988167847,9.1928568164664,7.21012143450931,8.86856801801512,8.13366009639989
"mmu-mir-148b_mature",0,0,3.58254735746473,7.05188743502312,5.45315650273332,7.02763125829322,2.8412992763285,5.32869780473154,0,0,0,9.702499865983,3.45785300274864,0,1.40206705547773,7.84424419770739,5.8240112111539,1.27256885494026,9.6025702071845,3.74412663091143,6.71275156138269,6.99495685801419,7.26470229742714,6.05870575829998,6.30267756949922,6.34093563775137,5.15275170528038,6.0341038865395,6.54974739779396
"mmu-mir-150_mature",1.65924443129039,0,3.58254735746473,8.2439378241149,8.09920242862173,0.74360091395673,4.28539893580921,7.97484614472976,7.99768819419828,0.951089096519864,0,1.42470337373461,3.45785300274864,4.69070901087489,1.40206705547773,6.23524651881285,5.8240112111539,7.87421749989553,3.92218164989955,0,6.93456138110812,8.48122406010481,6.70360132087688,7.04102215190632,7.24321286667641,8.40820027712894,8.54325470756663,7.53286943584506,7.40245008066189
"mmu-mir-151_mature",1.65924443129039,0,0,0.20577175415506,1.17574126175389,0,0,4.68208803623303,0,0,1.51498665607667,0,0,2.84925996175026,8.69119463464711,6.95134166890065,0,5.06892925945119,1.74844905200851,0,5.2676416499364,4.49382102360186,3.86937372825164,5.07485503993919,8.0477025654704,6.48997096974762,2.49678700445852,5.89390699238375,4.55904817112416
